SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Puget Sound Educational Service District 121,27,Pierce,27400,Clover Park School District,5297,Transition Day Students,11,1,1,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,,3,,,1,1,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,,3,,,1,1
2014-15,Office of Superintendent of Public Instruction,50,,50003,Institutions,5298,Oakridge Group Home,11,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,1,3,,,1,1,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,,3,,,,1
2014-15,Northwest Educational Service District 189,28,San Juan,28144,Lopez School District,5299,CVA-Lopez Island,3,2,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,1,50,2,100,,,,,3,2,0,0,0,0,0,1,33.29,1,33.29,0,0,0,0,0,0,1,33.29,3,100,,,,,1,1
2014-15,Northwest Educational Service District 189,28,San Juan,28144,Lopez School District,5299,CVA-Lopez Island,4,4,2,1,25,1,25,50,1,25,0,0,0,0,1,25,0,0,2,50,3,75,,,,,4,2,1,25,1,25,50,1,25,0,0,0,0,1,25,0,0,2,50,3,75,,,,,1,1
2014-15,Northwest Educational Service District 189,28,San Juan,28144,Lopez School District,5299,CVA-Lopez Island,5,2,1,1,50,1,50,100,0,0,0,0,0,0,0,0,1,50,1,50,1,50,,1,,,2,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,1,50,2,100,,1,,,2,1
2014-15,Educational Service District 101,32,Spokane,32081,Spokane School District,5301,The Community School,11,24,21,14,58.29,14,58.29,66.7,1,4.09,6,25,0,0,8,33.29,6,25,3,12.5,10,41.6,,10,,,24,20,1,4.09,1,4.09,5,8,33.29,11,45.79,0,0,1,4.09,0,0,4,16.6,23,95.79,,12,,,2.54,1.37
2014-15,Office of Superintendent of Public Instruction,50,,50003,Institutions,5302,Washington Youth Academy,11,41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,41,100,41,100,1,56,,,41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,41,100,41,100,1,54,,,0,0
2014-15,Educational Service District 101,01,Adams,01160,Ritzville School District,5303,Lind Ritzville Middle School,6,20,20,13,65,13,65,65,2,10,5,25,1,5,10,50,2,10,0,0,7,35,,,,,20,20,5,25,5,25,25,5,25,10,50,0,0,3,15,2,10,0,0,15,75,,,,,2.5,2.1
2014-15,Educational Service District 101,01,Adams,01160,Ritzville School District,5303,Lind Ritzville Middle School,7,32,32,18,56.2,18,56.2,56.3,10,31.19,4,12.5,0,0,10,31.19,8,25,0,0,14,43.7,,1,,,33,33,12,36.29,12,36.29,36.4,10,30.3,11,33.29,0,0,8,24.19,4,12.09,0,0,21,63.6,,1,,,2.5,2.18
2014-15,Educational Service District 101,01,Adams,01160,Ritzville School District,5303,Lind Ritzville Middle School,8,19,19,13,68.4,13,68.4,68.4,2,10.5,4,21,0,0,11,57.79,2,10.5,0,0,6,31.5,,1,,,19,19,6,31.5,6,31.5,31.6,6,31.5,7,36.79,0,0,4,21,2,10.5,0,0,13,68.4,,1,,,2.68,2.1
2014-15,Office of Superintendent of Public Instruction,34,Thurston,34801,Educational Service District 113,5305,GRAVITY High School,11,101,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,101,100,101,100,,14,,,101,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,101,100,101,100,,14,,,0,0
2014-15,Puget Sound Educational Service District 121,27,Pierce,27010,Tacoma School District,5307,Fresh Start,11,31,26,14,45.1,14,45.1,53.8,4,12.9,8,25.8,0,0,10,32.2,4,12.9,5,16.1,17,54.79,,20,,,31,25,3,9.59,3,9.59,12,18,58,4,12.9,0,0,3,9.59,0,0,6,19.3,28,90.29,,20,,,2.13,1.13
2014-15,Educational Service District 112,06,Clark,06098,Hockinson School District,5311,Hockinson Heights Elementary School,3,126,126,65,51.5,65,51.5,51.6,26,20.6,35,27.69,0,0,35,27.69,30,23.8,0,0,61,48.39,,4,2,,126,125,70,55.5,70,55.5,56,14,11.09,41,32.5,0,0,46,36.5,24,19,1,0.7,56,44.39,,4,2,,2.54,2.62
2014-15,Educational Service District 112,06,Clark,06098,Hockinson School District,5311,Hockinson Heights Elementary School,4,120,115,67,55.79,67,55.79,58.3,23,19.1,25,20.8,0,0,35,29.1,32,26.6,5,4.09,53,44.1,,4,4,,121,116,59,48.7,59,48.7,50.9,16,13.19,41,33.79,0,0,43,35.5,16,13.19,5,4.09,62,51.2,,4,4,,2.54,2.4
2014-15,Educational Service District 112,06,Clark,06098,Hockinson School District,5311,Hockinson Heights Elementary School,5,136,133,90,66.09,90,66.09,67.7,22,16.1,21,15.4,0,0,52,38.2,38,27.89,3,2.2,46,33.79,,2,1,,136,133,63,46.29,63,46.29,47.4,23,16.89,47,34.5,0,0,30,22,33,24.19,3,2.2,73,53.6,,2,1,,2.73,2.49
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,5308,Jing Mei Elementary School,3,26,26,19,73,19,73,73.1,2,7.59,5,19.19,1,3.79,9,34.6,9,34.6,0,0,7,26.89,,1,,,26,26,21,80.7,21,80.7,80.8,3,11.5,2,7.59,0,0,9,34.6,12,46.1,0,0,5,19.19,,1,,,2.88,3.15
2014-15,Educational Service District 112,06,Clark,06117,Camas School District,5309,Woodburn Elementary,3,81,81,64,79,64,79,79,5,6.09,12,14.8,0,0,24,29.6,40,49.29,0,0,17,20.89,,6,,,81,81,61,75.29,61,75.29,75.3,7,8.59,13,16,0,0,25,30.8,36,44.39,0,0,20,24.6,,7,,,3.22,3.11
2014-15,Educational Service District 112,06,Clark,06117,Camas School District,5309,Woodburn Elementary,4,50,50,31,62,31,62,62,8,16,11,22,0,0,17,34,14,28,0,0,19,38,,4,,,50,50,30,60,30,60,60,7,14,13,26,0,0,17,34,13,26,0,0,20,40,,4,,,2.74,2.72
2014-15,Educational Service District 112,06,Clark,06117,Camas School District,5309,Woodburn Elementary,5,69,69,44,63.7,44,63.7,63.8,12,17.3,13,18.8,0,0,33,47.79,11,15.9,0,0,25,36.2,,4,,,69,69,39,56.5,39,56.5,56.5,17,24.6,13,18.8,0,0,26,37.6,13,18.8,0,0,30,43.39,,4,,,2.62,2.5
2014-15,Educational Service District 112,06,Clark,06114,Evergreen School District (Clark),5310,HeLa High School,11,100,69,10,10,10,10,14.5,44,44,15,15,0,0,7,7,3,3,31,31,90,90,9,12,,,106,90,22,20.69,22,20.69,24.4,29,27.3,39,36.7,0,0,16,15,6,5.59,16,15,84,79.2,3,8,,,1.07,1.68
2014-15,Educational Service District 112,08,Cowlitz,08122,Longview School District,5312,On Track Academy,11,50,34,9,18,9,18,26.5,8,16,17,34,0,0,7,14,2,4,16,32,41,82,,32,,,48,30,0,0,0,0,0,22,45.79,8,16.6,0,0,0,0,0,0,18,37.5,48,100,,35,,,1.42,0.79
2014-15,North Central Educational Service District 171,04,Chelan,04246,Wenatchee School District,5316,Open Doors Wenatchee,11,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,37,100,37,100,,14,,,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,37,100,37,100,,14,,,0,0
2014-15,Educational Service District 112,30,Skamania,30303,Stevenson-Carson School District,5318,Columbia Gorge School,4,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,,,,0,0
2014-15,Educational Service District 112,30,Skamania,30303,Stevenson-Carson School District,5318,Columbia Gorge School,7,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,1,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,1,,,0,0
2014-15,Educational Service District 112,30,Skamania,30303,Stevenson-Carson School District,5318,Columbia Gorge School,11,4,1,1,25,1,25,100,0,0,0,0,0,0,1,25,0,0,3,75,3,75,,4,,,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,100,4,100,,4,,,0.75,0
2014-15,Puget Sound Educational Service District 121,27,Pierce,27010,Tacoma School District,5320,Re-engagement Center,11,7,2,1,14.19,1,14.19,50,0,0,1,14.19,0,0,1,14.19,0,0,5,71.4,6,85.7,,10,,,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7,100,7,100,,10,,,0.71,0
2014-15,Puget Sound Educational Service District 121,27,Pierce,27003,Puyallup School District,5321,Open Doors Puyallup,11,20,6,2,10,2,10,33.3,1,5,3,15,0,0,1,5,1,5,14,70,18,90,10,47,,,17,4,1,5.79,1,5.79,25,3,17.6,0,0,0,0,1,5.79,0,0,13,76.4,16,94.09,13,47,,,0.7,0.35
2014-15,Puget Sound Educational Service District 121,27,Pierce,27003,Puyallup School District,5322,Puyallup Parent Partnership Program,3,7,7,2,28.5,2,28.5,28.6,1,14.19,4,57.1,0,0,1,14.19,1,14.19,0,0,5,71.4,,,,,6,6,1,16.6,1,16.6,16.7,3,50,2,33.29,0,0,1,16.6,0,0,0,0,5,83.29,,,,,2.28,1.66
2014-15,Puget Sound Educational Service District 121,27,Pierce,27003,Puyallup School District,5322,Puyallup Parent Partnership Program,4,4,4,3,75,3,75,75,0,0,1,25,0,0,3,75,0,0,0,0,1,25,,1,,,4,4,2,50,2,50,50,1,25,1,25,0,0,1,25,1,25,0,0,2,50,,1,,,2.75,2.5
